"Well, duh, It's ""Europe"", yo",Armenia,Cereal,117.11
"Well, duh, It's ""Europe"", yo",Montenegro,Clothes,35.84
"Well, duh, It's ""Europe"", yo",Montenegro,Snacks,97.44
"Well, duh, It's ""Europe"", yo",Greece,Household,502.54
"Well, duh, It's ""Europe"", yo",Montenegro,Clothes,35.84
"Well, duh, It's ""Europe"", yo",Estonia,Office Supplies,524.96
"Well, duh, It's ""Europe"", yo",Bulgaria,Clothes,35.84
"Well, duh, It's ""Europe"", yo",Greece,Baby Food,159.42
"Well, duh, It's ""Europe"", yo",Sweden,Baby Food,159.42
"Well, duh, It's ""Europe"", yo",Belarus,Office Supplies,524.96
"Well, duh, It's ""Europe"", yo",Armenia,Meat,364.69
"Well, duh, It's ""Europe"", yo",Greece,Household,502.54
"Well, duh, It's ""Europe"", yo",Ukraine,Cosmetics,263.33
"Well, duh, It's ""Europe"", yo",Croatia,Beverages,31.79
"Well, duh, It's ""Europe"", yo",Italy,Office Supplies,524.96
"Well, duh, It's ""Europe"", yo",Portugal,Office Supplies,524.96
"Well, duh, It's ""Europe"", yo",Belarus,Beverages,31.79
"Well, duh, It's ""Europe"", yo",Romania,Office Supplies,524.96
"Well, duh, It's ""Europe"", yo",Austria,Office Supplies,524.96
"Well, duh, It's ""Europe"", yo",Luxembourg,Baby Food,159.42
"Well, duh, It's ""Europe"", yo",Sweden,Vegetables,90.93
"Well, duh, It's ""Europe"", yo",Iceland,Meat,364.69
"Well, duh, It's ""Europe"", yo",United Kingdom,Office Supplies,524.96
"Well, duh, It's ""Europe"", yo",Czech Republic,Snacks,97.44
"Well, duh, It's ""Europe"", yo",Montenegro,Beverages,31.79
"Well, duh, It's ""Europe"", yo",Montenegro,Clothes,35.84
"Well, duh, It's ""Europe"", yo",Cyprus,Snacks,97.44
"Well, duh, It's ""Europe"", yo",Iceland,Personal Care,56.67
"Well, duh, It's ""Europe"", yo",Ireland,Vegetables,90.93
"Well, duh, It's ""Europe"", yo",Sweden,Snacks,97.44
"Well, duh, It's ""Europe"", yo",United Kingdom,Clothes,35.84
"Well, duh, It's ""Europe"", yo",Albania,Fruits,6.92
"Well, duh, It's ""Europe"", yo",Romania,Snacks,97.44
"Well, duh, It's ""Europe"", yo",Portugal,Office Supplies,524.96
"Well, duh, It's ""Europe"", yo",Macedonia,Beverages,31.79
"Well, duh, It's ""Europe"", yo",Germany,Baby Food,159.42
"Well, duh, It's ""Europe"", yo",Ireland,Household,502.54
"Well, duh, It's ""Europe"", yo",Poland,Office Supplies,524.96
"Well, duh, It's ""Europe"", yo",Norway,Personal Care,56.67
"Well, duh, It's ""Europe"", yo",Serbia,Cosmetics,263.33
"Well, duh, It's ""Europe"", yo",Bulgaria,Baby Food,159.42
"Well, duh, It's ""Europe"", yo",Serbia,Snacks,97.44
"Well, duh, It's ""Europe"", yo",Cyprus,Snacks,97.44
"Well, duh, It's ""Europe"", yo",Estonia,Baby Food,159.42
"Well, duh, It's ""Europe"", yo",Estonia,Clothes,35.84
"Well, duh, It's ""Europe"", yo",Lithuania,Fruits,6.92
"Well, duh, It's ""Europe"", yo",Czech Republic,Baby Food,159.42
"Well, duh, It's ""Europe"", yo",Moldova ,Meat,364.69
"Well, duh, It's ""Europe"", yo",Hungary,Household,502.54
"Well, duh, It's ""Europe"", yo",Albania,Vegetables,90.93
"Well, duh, It's ""Europe"", yo",Hungary,Vegetables,90.93
"Well, duh, It's ""Europe"", yo",Georgia,Office Supplies,524.96
"Well, duh, It's ""Europe"", yo",Estonia,Office Supplies,524.96
"Well, duh, It's ""Europe"", yo",Luxembourg,Household,502.54
"Well, duh, It's ""Europe"", yo",Romania,Clothes,35.84
"Well, duh, It's ""Europe"", yo",Moldova ,Personal Care,56.67
"Well, duh, It's ""Europe"", yo",Belarus,Personal Care,56.67
"Well, duh, It's ""Europe"", yo",Poland,Beverages,31.79
"Well, duh, It's ""Europe"", yo",Andorra,Baby Food,159.42
"Well, duh, It's ""Europe"", yo",Slovakia,Clothes,35.84
"Well, duh, It's ""Europe"", yo",United Kingdom,Household,502.54
"Well, duh, It's ""Europe"", yo",Finland,Vegetables,90.93
"Well, duh, It's ""Europe"", yo",Bulgaria,Clothes,35.84
"Well, duh, It's ""Europe"", yo",Spain,Household,502.54
"Well, duh, It's ""Europe"", yo",Belgium,Fruits,6.92
"Well, duh, It's ""Europe"", yo",Belgium,Baby Food,159.42
"Well, duh, It's ""Europe"", yo",Switzerland,Clothes,35.84
"Well, duh, It's ""Europe"", yo",Slovenia,Household,502.54
"Well, duh, It's ""Europe"", yo",Norway,Clothes,35.84
"Well, duh, It's ""Europe"", yo",Russia,Cosmetics,263.33
"Well, duh, It's ""Europe"", yo",Romania,Cereal,117.11
"Well, duh, It's ""Europe"", yo",Czech Republic,Cereal,117.11
"Well, duh, It's ""Europe"", yo",Liechtenstein,Household,502.54
"Well, duh, It's ""Europe"", yo",Moldova ,Fruits,6.92
"Well, duh, It's ""Europe"", yo",Denmark,Beverages,31.79
"Well, duh, It's ""Europe"", yo",Andorra,Household,502.54
"Well, duh, It's ""Europe"", yo",Vatican City,Vegetables,90.93
"Well, duh, It's ""Europe"", yo",Ukraine,Household,502.54
"Well, duh, It's ""Europe"", yo",Malta,Cosmetics,263.33
"Well, duh, It's ""Europe"", yo",Cyprus,Household,502.54
"Well, duh, It's ""Europe"", yo",Czech Republic,Office Supplies,524.96
"Well, duh, It's ""Europe"", yo",Czech Republic,Household,502.54
"Well, duh, It's ""Europe"", yo",Slovakia,Vegetables,90.93
"Well, duh, It's ""Europe"", yo",Switzerland,Beverages,31.79
"Well, duh, It's ""Europe"", yo",Hungary,Cosmetics,263.33
"Well, duh, It's ""Europe"", yo",Austria,Office Supplies,524.96
